type_of_reference,primary_title,paper_type,doi,authors,year,abstract,dataset
JOUR,a comparison between ibex bone health applied to digital radiographs and dual-energy x-ray absorptiometry at the distal-third and ultra-distal regions of the radius, to read,10.1186/s12891-024-07670-0,"['Lopez, Ben', 'Meertens, Robert', 'Gundry, Mike', 'Scott, Paul', 'Crone, Mr Ben', 'McWilliam, Richard']",2024,"BACKGROUND: In an ageing population, low impact fragility fractures are becoming increasingly common. However, fracture risk can be reduced where low bone density can be identified at an early stage. In this study we aim to demonstrate that IBEX Bone Health (IBEX BH) can provide a clinically useful prediction from wrist radiographs of aBMD and T-score at the ultra-distal (UD) and distal-third (DT) regions of the radius., METHODS: A 261-participant single-centre, non-randomised, prospective, study was carried out to compare a) IBEX BH, a quantitative digital radiography software device, to b) Dual-energy X-ray Absorptiometry (DXA). A total of 257 participants with wrist digital radiograph (DR), forearm DXA pairs were included in the analysis after exclusions., RESULTS: The adjusted R2 value for IBEX BH outputs to the radial areal bone mineral density (aBMD) produced by a GE Lunar DXA system for the UD region is 0.87 (99% Confidence Interval (CI) [0.84, 0.89]). The adjusted R2 value for IBEX BH outputs to aBMD for the DT region is 0.88 (99% CI [0.85, 0.90]). The Area Under the Receiver Operating Characteristic curve (AUC) for the forearm T-score <= - 2.5 risk prediction model at the UD region is 0.95 (99% CI [0.93, 0.98]). The AUC for the forearm T-score <= - 2.5 risk prediction model at the DT region is 0.98 (99% CI [0.97, 0.99])., CONCLUSION: From a DR of the wrist, IBEX BH provides a clinically useful i) estimate of aBMD at the two regions of interest on the radius and ii) risk prediction model of forearm T-score <= - 2.5 at the UD and DT regions. Copyright © 2024. The Author(s).",ovid
JOUR,12480 rems technology for the bone health assessment after hormonal therapy in transgender subjects,abstract,,"['Anna Lombardi, Fiorella', 'Russo, Antonino', 'Pisani, Paola', 'Stomaci, Chiara', 'Conversano, Francesco', 'Franchini, Roberto', 'Di Paola, Marco', 'Racanelli, Vito', 'Casciaro, Sergio']",2024,,goog
JOUR,ab0297 multivariate regression analysis of risk factors for high radiofrequency echographic multispectrometry (rems)-based fragility score of the lumbar spine,abstract,,"['Bischoff, E', 'Bischoff, F', 'Vladeva, S', 'Kovachev, M', 'Kinov, P']",2024,,goog
JOUR,ab0297?multivariate regression analysis of risk factors for high radiofrequency echographic multispectrometry (rems) - based fragility score of the lumbar spine,abstract,10.1136/annrheumdis-2024-eular.1298,"['Bischoff, E.', 'Bischoff, F.', 'Vladeva, S.', 'Kovachev, M.', 'Kinov, P.']",2024,"Background: A previous published prospective study using Radiofrequency echographic multispectrometry (REMS) demonstrated the fragility score (FS) of the lumbar spine as a good indicator for subjects at risk of major osteoporotic fractures (spine, hip, radius, humerus or forearm). The best cut-off value of FS = 37.2 was considered in this paper [1]. Objectives: The aim of the current study is to investigate the multivariate significant risk factors for FS? 37.2. Methods: In our study, REMS assessments of 252 women with mean age 60 years (yrs.) ± 13 yrs. (range 35-81 yrs.) were conducted. We set up two groups according to the FS of the lumbar spine of the subjects: 1st group with FS ? 37.2 and 2nd group with FS <37.2. Age, weight, height, body mass index (BMI), menopausal status, history of previous fractures, diagnosis of rheumatoid arthritis (RA), use of corticosteroids (CS), current smoking and alcohol consumption of three or more drinks daily were the risk factors included in the multivariate statistical analysis. We analyzed the significant risk factors for FS ? 37.2 with binary logistic regression. The data collection and transfer from the electronic health record was performed with an innovative JAVA tool, developed by Kirilov et al. [2,3]. Results: Of total 252 women the mean weight was of 65.6 kg. ± 14.1 kg. (range 41-117 kg.), mean height 158.2 cm. ± 8.5 cm. (range 132-179 cm.) and mean BMI 27.2 kg/cm2 ± 5.5 kg/cm2 (range 14.1-46.6 kg/cm2). 227 women (90.1%) were attributed to postmenopausal. Age (p<0.001), menopause (p=0.006), history of previous fractures (p<0.001), diagnosis of RA (p=0.003) and use of CS (p=0.002) were the multivariate significant risk factors for FS ? 37.2. Odds ratio (OR) for the risk factor age was 1.3, so each added year of the women’s age increased the risk for FS ? 37.2 by 1.3%. The risk factor menopause showed OR of 7.24, so postmenopausal women had about 7.2 times higher risk of FS ? 37.2 compared to women who still have their menstruation. Subjects with previous fractures had 15.3 times higher risk for FS ? 37.2 than non-fractured subjects. ORs were 2.16 for RA and 3.24 for the use of CS, so women with RA had 2.2 times highe",Scie
JOUR,ab0298 assessment of the hip fragility score with radiofrequency echographic multispectrometry (rems) of fractured and non-fractured women,abstract,,"['Bischoff, F', 'Vladeva, S']",2024,,goog
JOUR,ab0298?assessment of the hip fragility score with radiofrequency echographic multispectrometry (rems) of fractured and non-fractured women,abstract,10.1136/annrheumdis-2024-eular.1307,"['Bischoff, F.', 'Vladeva, S.']",2024,"Background: Osteoporosis is associated with a higher risk of fragility fractures. The innovative method Radiofrequency echographic multispectrometry (REMS) has the opportunity to assess not only the bone quantity by analyzing the bone mineral density but also the bone quality through the evaluation of the fragility score (FS) [1]. Bone quality is closely associated with higher fracture risk. Objectives: The aim of our study is to assess the hip fragility score with REMS of fractured and non-fractured women. Methods: The FS of the hip of 65 women was assessed with REMS. Age, weight, height, body mass index (BMI), bone mineral density (BMD), T-score, Z-score and FS were compared between the fractured and non-fractured women using independent sample T-test. Data collection and transfer from the electronic health record was performed with an innovative JAVA tool, developed by Kirilov et al. [2,3]. Results: Subjects had average age of 62 years (yr.) with range 56-81 yr. 15 women (32.1%) reported a previous fracture. Fractured subjects were significantly older (mean age of 81 yr.) than non-fractured subjects (mean age of 56 yr.), p<0.001. Height didn’t differ significantly between the both groups. Fractured women had significantly lower weight and BMI compared to non-fractured group, p<0.001. Fractured subjects had also lower hip BMD (0.518 g/cm2), lower T-score (-2.9 SD) and Z-score (-0.7 SD) of the hip and higher hip fragility score (71.1) compared to non-fractured subjects (BMD=0.742 g/cm2, T-score= -1.0 SD, Z-score=-0.3 SD and FS=25.7), p<0.001. Conclusion: Fractured women demonstrated higher fragility score than non-fractured women. These results showed the good ability of the REMS based fragility score to select subjects with deteriorated bone microarchitecture. REFERENCES: [1] Al Refaie A, Baldassini L, Mondillo C, et al. Radiofrequency Echographic Multi Spectrometry (R.E.M.S.): New Frontiers for Ultrasound Use in the Assessment of Bone Status-A Current Picture. Diagnostics (Basel). 2023;13(10):1666. [2] Kirilov N et al. Entwicklung eines Tools zur Konvertierung von FHIR Questionnaire Resources in CDISC ODM Format GMS Publishing House; 2023. DocAbstr. 66 (Abstr",Scie
JOUR,ab0299 comparing sarc-f versus dexa for sarcopenia assessment in patients with rheumatoid arthritis and intermediate/high fracture risk,abstract,,"['Rodriguez-Flores, AG', 'Bardan-Inchaustegui, AC', 'Carrazco-Chapa, A', 'Rodriguez-Orozco, G', 'Cervantes-Charles, GJ', 'Sanchez-Fonseca, AP', 'Skinner-Taylor, CM', 'Negrete-Lopez, R', 'Cardenas-de la Garza, JA', 'Gala",2024,,goog
JOUR,ab0299?comparing sarc-f versus dexa for sarcopenia assessment in patients with rheumatoid arthritis and intermediate/high fracture risk,abstract,10.1136/annrheumdis-2024-eular.1432,"['Rodriguez-Flores, A.G.', 'Bardan-Inchaustegui, A.C.', 'Carrazco-Chapa, A.', 'Rodriguez-Orozco, G.', 'Cervantes-Charles, G.J.', 'Sanchez-Fonseca, A.P.', 'Skinner-Taylor, C.M.', 'Negrete-Lopez, R.', 'Cardenas-de la Garza, J.A.', 'Galarza-Delgado, D.A.']",2024,"Background: Sarcopenia is defined as the loss of muscle mass and strength. It is a common condition in patients with rheumatoid arthritis (RA) because it causes a decrease in lean mass that may result in physical disability, weakness, infections, and even premature death. Dual-energy x-ray absorptiometry (DEXA) is used to measure muscle mass. European Working Group on Sarcopenia in Older People 2 (EWGSOP2) recommends the SARC-F, a tool that measures the risk of sarcopenia. A SARC-F study in rheumatic patients with sarcopenia detected sarcopenia risk in only 40% of the patients. Objectives: To compare the sarcopenia risk frequency by SARC-F and the sarcopenia detection by DEXA in high to intermediate fracture risk RA patient. Methods: A transversal and descriptive study included patients from our clinic in a University Hospital in Monterrey, Mexico diagnosed with RA according to ACR/EULAR criteria. The DEXA scan was used to diagnose sarcopenia based on muscle mass percentage. Sarcopenia was identified with the EWGSOP2 criteria with a muscle mass percentage of ?7.0 kg/m2 in men and ?5.5 kg/m2 in women. The SARC-F tool considers a score of >4 as a high risk of sarcopenia. Shapiro-Wilk to determine normality and T-student test for compare groups were performed. Data were presented as percent frequency, mean ± standard deviation (SD), or median and interquartile range (IQR). Spearman correlation test was performed. A p<0.05 was considered statistically significant. Statistical analysis was performed with SPSS v.25. Results: A total of 32 patients diagnosed with RA were included, 30 (93.8%) were women and 2 (4.3%) were men. The mean age of patients was 65 ± 9.81. Table 1 shows the clinical characteristics. We found that 12 (37.5%) patients have sarcopenia with a mean muscle mass percentage of 5.92 ± 1.01. Risk of sarcopenia with SARC-F was identified in 18 (56.3%), with a mean of 4.16 ± 2.73. We compared the sarcopenia-risk patients with those who had already developed sarcopenia. There was no statistically significant difference between the two methods (p=0.147). The frequencies and p-value obtained from the chi-square test are shown in Table 2. Conclusion: There was",Scie
JOUR,ab0304 bone density in rheumatoid arthritis assessed by radiofrequency echographic multispectrometry: how frequent are osteopenia and osteoporosis?,abstract,,"['Icatoiu, E', 'Cobilinschi, C', 'B?l?nescu, A', 'Bojinca, V']",2024,,goog
JOUR,ab0304?bone density in rheumatoid arthritis assessed by radiofrequency echographic multispectrometry: how frequent are osteopenia and osteoporosis?,abstract,10.1136/annrheumdis-2024-eular.4434,"['Icatoiu, E.', 'Cobilinschi, C.', 'B?l?nescu, A.', 'Bojinca, V.']",2024,"Background: The frequency of osteoporosis (OP) after performing dual-energy X-ray absorptiometry (DXA) in patients with rheumatoid arthritis (RA) has been reported to vary from 11 to 38.9% in the lumbar spine and from 6.3 to 36.2% in the total hip. Radiofrequency echographic multispectrometry (REMS) is an innovative non-ionizing technology that evaluates bone mineral density by analysing raw unfiltered native ultrasound signals. Its daily clinical use is still limited though and further data is required in order to sustain its accuracy. Objectives: The study aimed to explore the prevalence of reduced bone mineral density (BMD) measured with REMS technology and the potential risks for osteopenia and osteoporosis in a Romanian patients sample. Methods: An analytical cross-sectional study design was carried out. For this study, forty patients diagnosed with rheumatoid arthritis were recruited and further accepted for demographic data collection, the body mass index (BMI), disease evolution, blood and BMD tests (T score, fragility score (FS), the risk of major osteoporotic fracture in 5 years (MOF5y) for lumbar spine and femoral neck). Disease activity score at 28 joints (DAS28) and health assessment questionnaire (HAQ) were recorded. Chi-square, Pearson correlations, independent t test were calculated using IBM SPSS software. Risk factors for bone loss were analyzed by logistic regression. Results: Forty patients were included in the study: 38 females (30 post-menopausal) and 2 men, with the mean age 56.97±13.48 years, mean BMI 26.4±5.1 kg/m2 and mean disease length 11.32±10.97 years. Twenty two were undergoing corticotherapy. Eight patients (20%) had a score of osteoporosis (T score<-2.5) in at least one measured site and 22 (55%) patients had a score of osteopenia (-2.5<T score<-1), respectively. 82.5% of the subjects were taking at least one conventional syntetic disease modifying antirheumatic drug (csDMARDs) and 35% a biologic DMARDs (bDMARDs). A multiple linear regression analysis showed that the age and BMI are risk factors for BMD changes in the spine (F=65.45, p = <.001, R2 = 0.78) and the hip (F=19.08, p = <.001, R2 = 0.92.) The presence of menopause, the",Scie
